OTTERNO,DATE,YEAR,SITE,LAT,LONG,AGECLASS,AGE,SEX,WEIGHT,LENGTH,TG,SN,NC,TGPOS,SNPOS,NCPOS,NLCDV0,NLCDV11,NLCDV12,NLCDV21,NLCDV22,NLCDV23,NLCDV24,NLCDV31,NLCDV41,NLCDV42,NLCDV43,NLCDV51,NLCDV52,NLCDV90,NLCDV95,PD,HD,RD,NLCDV71,NLCDV81,NLCDV82,NLCDVSUM,imp5,imp50,imp,NLCDV72,LCIV0,LCIV1,LCIV5,LCIV6,LCIV8,LCIV10,LCIV12,LCIV13,LCIV14,LCIV15,LCIV16,LCIV17,LCIV18,LCIV19,CapID,REGION,ATOS_min,ATOS,ATOS_max,ATOS_dist,Long_move,Found,Diet.Name,Grp_6,N_bouts,N_dives,success_rt,urchin,abalone,mussel,clam,snail,crab_other,kelp_crab,cancer_crab,sand_crab,star,worm,chiton,sand_dollar,octopus,squid,misc_rocky,lobster,fishegg
1000,40919,2012,MONT,NA,NA,A,10.94045175,F,19.9,117.4,40,40,320,0,0,1,0,0.004809116,NA,0.124848877,0.05276213,0.036434791,0.006930036,0.011787342,5.98E-05,0.149059112,0.086235839,NA,0.221027642,0.005515577,0.003980274,247.5742866,121.9982661,4.367079647,0.226120546,0.009151792,0.061277168,NA,0.152508449,0.041818838,5.436038469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000x40919,MBA,386,389,393,7,0,1,Snail,2,23,643,0.701107011,0.09783198,0.105843934,4.93E-05,0.00844347,0.309187056,0.066766329,0.179686317,0.186174953,0,0.026525413,0.004360136,0.010985077,0,0,0,0.002457569,0,0.001688443
1004,38757,2006,MONT,NA,NA,A,4.021902806,F,17.3,110,10240,40,160,1,0,0,0,0.005054548,NA,0.066242473,0.018421371,0.01335738,0.002678034,0.0140911,7.56E-05,0.118870349,0.107691241,NA,0.277975398,0.006638425,0.004657938,75.27888381,29.91169693,2.345496926,0.273769557,0.011749666,0.078726884,NA,0.058362796,0.015480972,2.042303784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004x38757,MBA,386,386,386,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,38742,2006,MONT,NA,NA,SA,2.981519507,F,20,114,80,80,80,0,0,0,0,0.004957215,NA,0.079253148,0.026003218,0.018204853,0.003539457,0.013311584,7.21E-05,0.130980605,0.102740195,NA,0.265067226,0.006330409,0.004448797,112.8439982,50.39327244,2.79219131,0.260596499,0.010981463,0.073513187,NA,0.078921659,0.020976967,2.76929943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1005x38742,MBA,390,390,390,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,39470,2008,MONT,NA,NA,A,4.97467488,F,19.5,113.9,40,40,NA,0,0,0,0,0.004974726,NA,0.071642232,0.021531963,0.015124386,0.002962539,0.013520295,7.43E-05,0.128890316,0.105462572,NA,0.272376644,0.006456763,0.004516895,90.26948164,38.45491967,2.529088629,0.265891873,0.011253024,0.075321514,NA,0.066596023,0.017450545,2.320657488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006x39470,MBA,386,390.6666667,400,14,0,1,Abalone,6,53,1944,0.635872825,0.102135754,0.460024383,0.007447104,0.011618793,0.003717349,0.045883529,0.048056966,0.252045392,0,0.00189335,0.003440306,0.056278678,0.000346653,0.005564509,6.36E-05,0.001483594,0,0
1007,40084,2009,MONT,NA,NA,A,6.655715264,F,17.4,112.1,40,40,40,0,0,0,0,0.005047407,NA,0.067052474,0.018890979,0.013647135,0.002727898,0.014036336,7.54E-05,0.119749951,0.107378173,NA,0.277163676,0.006617676,0.004643576,77.58344108,31.18364369,2.373178634,0.272897534,0.011697987,0.078373801,NA,0.059625441,0.015807646,2.086360624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007x40084,MBA,383,386.3333333,390,7,0,1,Crab,3,39,1485,0.772236076,0.181330303,0.028703939,0.169428562,0.050668707,0.003244828,0.041154401,0.029766667,0.413898272,0,0.015307864,0.022845154,0.017243121,0.026242237,0,0,0.000165945,0,0
1008,38960,2006,MONT,NA,NA,A,6.579055441,F,18,111,40,40,40,0,0,0,0,0.004809116,NA,0.124848877,0.05276213,0.036434791,0.006930036,0.011787342,5.98E-05,0.149059112,0.086235839,NA,0.221027642,0.005515577,0.003980274,247.5742866,121.9982661,4.367079647,0.226120546,0.009151792,0.061277168,NA,0.152508449,0.041818838,5.436038469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008x38960,MBA,389,389,389,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,38966,2006,MONT,NA,NA,A,6.595482546,F,16.3,109.6,40,40,40,0,0,0,0,0.004957215,NA,0.079253148,0.026003218,0.018204853,0.003539457,0.013311584,7.21E-05,0.130980605,0.102740195,NA,0.265067226,0.006330409,0.004448797,112.8439982,50.39327244,2.79219131,0.260596499,0.010981463,0.073513187,NA,0.078921659,0.020976967,2.76929943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009x38966,MBA,390,390,390,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,40387,2010,MONT,NA,NA,A,9.483915127,F,18.3,116,160,40,40,0,0,0,0,0.004677586,NA,0.058868515,0.014243145,0.009250822,0.001783587,0.012080377,8.25E-05,0.166253694,0.108703047,NA,0.281268443,0.006267226,0.00420658,52.47797705,20.2883673,2.093773379,0.253629969,0.01030766,0.068376861,NA,0.045749403,0.010633812,1.514400133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011x40387,MBA,398,405.5,413,15,0,1,Crab,3,12,297,0.850622407,0.072027204,0.10990665,0.082858613,0.004661849,0,0.266250338,0.24912662,0.084135924,0,0.074500447,0.053125696,0.003400317,6.34E-06,0,0,0,0,0
1012,39042,2006,MONT,NA,NA,A,8.802190281,F,21.8,116.5,40,40,40,0,0,0,0,0.005103124,NA,0.063172041,0.016685372,0.012485028,0.002559673,0.014421654,7.69E-05,0.113009542,0.108983612,NA,0.281204886,0.00674762,0.004739435,67.1727357,25.13873088,2.242887605,0.2781428,0.012024546,0.080643777,NA,0.053898706,0.014533508,1.89784562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012x39042,MBA,383,383,383,0,0,1,Mussel,1,27,1039,0.908101572,0.114554157,0.009816738,0.624077461,0.010316089,0,0.044150031,0.039632932,0.134916996,0,0.012848777,0.005004231,0,0.004682589,0,0,0,0,0
1013,39041,2006,MONT,NA,NA,A,4.79945243,F,21.4,120,40,40,40,0,0,0,0,0.004957215,NA,0.079253148,0.026003218,0.018204853,0.003539457,0.013311584,7.21E-05,0.130980605,0.102740195,NA,0.265067226,0.006330409,0.004448797,112.8439982,50.39327244,2.79219131,0.260596499,0.010981463,0.073513187,NA,0.078921659,0.020976967,2.76929943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013x39041,MBA,390,390,390,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
